Country iso,Country name,Occurrences,Most recent,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 $)
MDG,Madagascar,57,2012,2604,8803142,4390,913207,9720739,2252301
MDV,Maldives,3,2007,102,13949,2214,13000,29163,476100
MEX,Mexico,175,2014,15160,14416322,36290,949685,15402297,40887910
MHL,Marshall Is,3,2014,0,960,0,6000,6960,0
MKD,Macedonia FRY,8,2013,3,116161,0,150,116311,248600
MLI,Mali,20,2013,115,200905,33,34786,235724,0
MMR,Myanmar,44,2014,141223,6151776,20762,419508,6592046,4720813
MNE,Montenegro,4,2010,0,7886,0,0,7886,0
MNG,Mongolia,7,2009,144,270500,0,20150,290650,25364
MNP,Northern Mariana Is,2,2004,3,200,0,300,500,0
MOZ,Mozambique,51,2014,2714,12467062,2240,643740,13113042,1081150
MRT,Mauritania,16,2013,53,125303,19,57997,183319,0
MSR,Montserrat,3,1995,11,0,40,12000,12040,260000
MTQ,Martinique,13,2011,73,27900,119,3200,31219,609010
MUS,Mauritius,18,2013,39,1014849,1996,12500,1029345,626373
MWI,Malawi,38,2014,605,1885237,287,386009,2271533,60489
MYS,Malaysia,45,2014,782,1496323,834,71546,1568703,1913100
NAM,Namibia,13,2013,264,1099450,0,0,1099450,20490
NCL,New Caledonia,11,1981,11,2000,100,1000,3100,43200
NER,Niger,21,2014,308,1447325,13,176043,1623381,78674
NGA,Nigeria,45,2014,1443,9420636,1871,870302,10292809,621422
NIC,Nicaragua,45,2014,14313,2728084,21392,383592,3133068,2631230
NIU,Niue,3,2004,1,400,2,500,902,40000
NLD,Netherlands,4,1998,1,15000,20,0,15020,610600
NOR,Norway,4,2001,1,6100,0,0,6100,303000
NPL,Nepal,69,2014,9425,4745256,8342,204439,4958037,1344242
NZL,New Zealand,44,2013,252,651023,1590,700,653313,25201435
OMN,Oman,5,2011,218,25050,281,0,25331,4950000
PAK,Pakistan,122,2014,104119,76923604,159029,9512045,86594678,28026369
PAN,Panama,42,2014,272,238248,1568,19800,259616,102250
PER,Peru,112,2014,74107,10805136,159942,667142,11632220,2611650
PHL,Philippines,453,2014,57004,176520066,81297,5940531,182541894,22717478
PLW,Palau,1,2013,0,0,0,0,0,0
PNG,Papua New Guinea,42,2014,3047,669341,1019,143900,814260,97003
POL,Poland,14,2010,113,305800,0,63824,369624,7933000
PRI,Puerto Rico,25,2014,762,179120,0,1051,180171,3646000
PRK,Korea Dem P Rep,32,2013,2167,11789062,2808,1282227,13074097,23653310
PRT,Portugal,13,2010,596,42898,338,10298,53534,1493100
PRY,Paraguay,18,2014,137,1208970,0,87500,1296470,96557
PSE,Palestine (West Bank),4,2013,5,14000,0,500,14500,0
PYF,French Polynesia,6,1998,31,8900,72,0,8972,48000
REU,Reunion,8,2007,63,17200,451,3400,21051,169000
ROU,Romania,49,2014,2357,1689518,12042,325971,2027531,5597618
RUS,Russia,79,2014,3218,2253991,6810,80369,2341170,4770140
RWA,Rwanda,16,2012,304,1978706,905,12920,1992531,9
SAU,Saudi Arabia,14,2013,385,14556,97,15000,29653,1650000
SCG,Serbia Montenegro,10,2006,15,107184,100,18214,125498,0
SDN,Sudan,37,2014,929,5752602,19413,1453480,7225495,558200
SEN,Senegal,20,2013,80,1166056,163,33992,1200211,54435
SLB,Solomon Is,25,2014,490,314333,22,62540,376895,44000
SLE,Sierra Leone,8,2011,182,221189,20,0,221209,0
SLV,El Salvador,36,2011,3978,2879930,47304,318300,3245534,6369410
SOM,Somalia,40,2014,3152,2248330,315,506200,2754845,100020
SPI,Canary Is,3,2005,42,700,30,0,730,454923
SRB,Serbia,11,2014,59,1658920,120,1470,1660510,2304615
SSD,South Sudan,4,2013,146,738000,0,0,738000,0
SUN,Soviet Union,39,1991,25967,1636208,14297,774086,2424591,20663700
SUR,Suriname,3,2008,5,36148,0,0,36148,50
SVK,Slovakia,12,2013,65,47237,61,1697,48995,252300
SVN,Slovenia,3,2012,1,12600,5,700,13305,275000
SWE,Sweden,3,1985,24,0,50,0,50,186800
SWZ,Swaziland,4,2014,64,906900,0,500,907400,54202
SYC,Seychelles,5,2014,8,20120,2,180,20302,41000
SYR,Syrian Arab Rep,4,2006,86,170000,23,75000,245023,44000
TCA,Turks and Caicos Is,6,2008,4,2470,0,0,2470,500005
TCD,Chad,17,2012,301,1338392,62,99088,1437542,11000
TGO,Togo,11,2010,72,501570,156,89874,591600,0
THA,Thailand,98,2014,13160,59213253,12619,304151,59530023,47197231
TJK,Tajikistan,46,2014,1982,841502,508,73666,915676,901150
TKM,Turkmenistan,2,2000,11,300,0,120,420,99870
TLS,Timor-Leste,5,2007,5,4505,0,0,4505,0
TON,Tonga,13,2009,21,142871,46,50700,193617,138300
TTO,Trinidad and Tobago,9,2005,10,52960,2,25,52987,31127
TUN,Tunisia,12,2009,873,531759,8,2500,534267,437800
TUR,Turkey,99,2014,33348,7257442,89025,1294876,8641343,26881900
TUV,Tuvalu,4,1993,6,1000,0,550,1550,0
TWN,Taiwan (China),80,2013,4503,3508505,17919,105800,3632224,21233662
TZA,Tanzania Uni Rep,43,2014,768,927545,296,111855,1039696,7790
UGA,Uganda,27,2013,816,825371,634,313943,1139948,75671
UKR,Ukraine,16,2013,95,2614930,289,26335,2641554,1354614
URY,Uruguay,12,2009,12,193763,0,15000,208763,89000
USA,United States,261,2014,5966,25348222,13896,407508,25769626,493640110
UZB,Uzbekistan,4,2011,46,51586,0,0,51586,0
VCT,St Vincent and the Grenad,14,2013,21,46132,59,1300,47491,180100
VEN,Venezuela,43,2012,30992,832861,6276,179358,1018495,3639426
VIR,Virgin Is (US),6,1995,10,2000,0,18000,20000,1237800
VNM,Viet Nam,156,2013,16115,73218163,13398,4752575,77984136,9914952
VUT,Vanuatu,33,2009,196,300605,135,15895,316635,205000
WLF,Wallis and Futuna Is,5,2012,6,5750,22,0,5772,0
WSM,Samoa,10,2012,196,367978,314,28000,396292,778838
YEM,Yemen,27,2013,930,230647,170,208450,439267,1611500
YMD,Yemen P Dem Rep,5,1989,507,575000,0,130000,705000,1040200
YMN,Yemen Arab Rep,4,1989,1657,450000,2112,152250,604362,2012700
YUG,Yugoslavia,15,1990,259,630900,16676,100400,747976,1671700
ZAF,South Africa,43,2014,1377,1046036,535,30885,1077456,1818029
ZMB,Zambia,19,2014,80,5147995,913,31150,5180058,20900
ZWE,Zimbabwe,13,2014,295,278020,2,66000,344022,297700
