Indicator,ISO3,Population,Human Development Index,Multidimensional Poverty Index,Public Aid per capita,Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,Measles immunization coverage,Tuberculosis prevalence,Health expenditure per capita,Malaria death rate,Income Gini coefficient,Food Availability Score,Food Utilization Score,Food Access Score,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult literacy rate,Internet users,Mobile cellular subscriptions,Improved sanitation facilities,Improved water source,GDP per capita
Guinea-Bissau,GNB,1704255,40,0.495,120.7,9.6,123.9,17.2,0.7,69,312,66,142.0,35.5,4.9,4.2,x,1.9,-1.4,19,,55.3,2.9,69.4,19.7,73.6,1144
Guyana,GUY,799613,64,0.031,341.4,4.0,36.6,11.1,2.1,99,131,223,3.0,,4.1,1.7,x,,-0.2,27,,85.0,34.3,72.2,83.6,97.6,7569
Haiti,HTI,10317461,47,0.242,327.9,16.0,72.8,11.6,,58,296,84,5.0,59.2,8.1,10.0,x,2.3,-1.5,19,20.0,48.7,10.9,59.4,24.4,62.4,1235
Honduras,HND,8097688,62,0.098,149.4,3.3,22.2,7.1,3.7,93,82,354,0.1,57.0,3.3,2.4,x,2.9,-0.7,26,79.9,85.1,18.1,93.1,80.0,89.6,4444
Hungary,HUN,9897247,82,,0.0,0.0,6.1,,34.1,99,29,1729,,31.2,4.9,0.0,2.7,4.4,0.6,54,,99.0,72.0,116.4,100.0,100.0,19591
Iceland,ISL,323002,89,,0.0,0.0,2.1,,34.6,90,4,3436,,,2.4,0.0,1.3,,1.5,78,,,96.0,105.4,100.0,100.0,38060
India,IND,1252139596,59,0.282,3.9,0.1,52.7,43.0,6.5,74,230,157,2.0,33.9,5.6,3.4,3.0,4.3,-0.2,36,75.0,62.8,12.6,68.7,36.0,92.6,3663
Indonesia,IDN,249865631,68,0.024,2.0,0.0,29.3,19.6,2.0,80,297,150,2.0,38.1,3.5,1.2,6.0,3.7,-0.2,32,73.0,92.8,15.4,115.2,58.8,84.9,4666
Iran,IRN,77447168,75,,3.2,0.0,16.8,4.6,8.9,98,33,929,0.1,38.3,2.0,0.0,1.4,3.2,-0.7,25,98.4,85.0,26.0,76.9,89.4,95.9,13184
Iraq,IRQ,33417476,64,0.052,134.3,0.6,34.0,7.1,6.1,69,73,149,0.1,30.9,4.4,6.2,x,1.6,-1.1,16,98.0,78.5,7.1,79.4,84.7,85.4,4225
Ireland,IRL,4595281,90,,0.0,0.0,3.8,,,92,11,3529,,34.3,0.5,0.0,0.1,,1.5,72,,,79.0,107.1,99.0,99.9,40838
Israel,ISR,8059400,89,,1.8,0.0,4.0,,31.1,96,11,2239,,39.2,0.0,0.0,1.6,,1.2,61,99.7,,73.4,119.9,100.0,100.0,31467
Italy,ITA,59831093,87,,0.0,0.0,3.6,,38.0,90,9,3040,,36.0,1.3,0.0,1.1,4.0,0.5,43,,99.0,58.0,159.5,,100.0,30464
Jamaica,JAM,2715000,72,,24.4,0.1,16.6,1.9,4.1,93,10,461,,45.5,4.5,1.0,x,3.7,0.0,38,92.0,87.0,46.5,96.5,80.2,93.1,8928
Japan,JPN,127338621,89,,0.0,0.0,2.9,,21.4,96,26,3578,,,4.9,0.0,4.6,4.2,1.6,74,,,79.1,109.4,100.0,100.0,34748
Jordan,JOR,6459000,75,0.004,680.5,4.6,18.7,3.0,25.6,98,9,483,,35.4,1.6,0.0,1.6,2.6,-0.1,45,99.4,95.9,41.0,139.1,98.1,96.1,5907
Kazakhstan,KAZ,17037508,76,0.004,20.2,0.1,16.3,4.9,38.4,96,189,608,,29.0,1.6,0.0,x,3.5,-0.5,26,,99.7,53.3,175.4,97.5,93.1,13001
Kenya,KEN,44353691,54,0.226,143.8,6.6,70.7,16.4,1.8,93,299,84,81.0,47.7,6.7,6.4,8.1,3.5,-0.5,27,18.1,72.2,32.1,71.9,29.6,61.7,1741
Kiribati,KIR,102351,61,,1253.2,25.0,58.2,,3.8,91,628,264,,,1.9,0.0,x,,-0.8,,,,10.7,15.6,39.7,66.8,5721
Korea DPR,PRK,24895480,,,16.8,0.0,27.4,18.8,,99,511,,0.0,,7.7,10.0,x,,-1.9,8,26.0,100.0,,6.9,81.8,98.1,1800
Korea Republic of,KOR,50219669,89,,0.0,0.0,3.7,,20.2,99,146,2321,0.0,,1.7,0.0,5.6,4.4,1.1,55,,,84.1,110.4,100.0,97.8,31220
Kuwait,KWT,3368572,81,,0.0,0.0,9.5,2.2,17.9,99,33,1377,,,1.7,0.0,0.1,,-0.1,43,100.0,93.9,79.2,191.1,100.0,99.0,41701
Kyrgyzstan,KGZ,5719500,63,0.013,177.3,7.3,24.2,3.7,24.7,98,217,175,0.0,33.4,3.6,0.3,x,3.5,-0.7,24,,99.2,21.7,124.8,91.8,87.6,2372
Lao PDR,LAO,6769727,57,0.186,122.2,4.7,71.4,26.5,1.9,72,514,84,1.0,36.7,6.4,5.6,6.5,2.6,-0.8,26,63.0,72.7,10.7,101.9,64.6,71.5,2768
Latvia,LVA,2013385,81,,0.0,0.0,8.4,,29.0,90,76,1188,,34.8,2.1,0.0,2.8,,0.9,53,,99.8,74.0,103.4,98.3,98.4,16818
